meta_event_index,meta_event_id,meta_source_file_id,meta_shift_mode,meta_assigned_shift_ps,meta_discrete_group,target_shift_ps,energy_ch1_max_amplitude_mV,energy_ch1_t10_abs_ps,energy_ch2_max_amplitude_mV,energy_ch2_t10_abs_ps,timing_delta_t7_ps,timing_difference_c22_CO_Embed2_Dist_tau_d_expfit_meandiff,timing_difference_c22_CO_FirstMin_ac,timing_difference_c22_CO_HistogramAMI_even_2_5,timing_difference_c22_CO_f1ecac,timing_difference_c22_CO_trev_1_num,timing_difference_c22_DN_HistogramMode_10,timing_difference_c22_DN_HistogramMode_5,timing_difference_c22_DN_OutlierInclude_n_001_mdrmd,timing_difference_c22_DN_OutlierInclude_p_001_mdrmd,timing_difference_c22_FC_LocalSimple_mean1_tauresrat,timing_difference_c22_FC_LocalSimple_mean3_stderr,timing_difference_c22_IN_AutoMutualInfoStats_40_gaussian_fmmi,timing_difference_c22_MD_hrv_classic_pnn40,timing_difference_c22_PD_PeriodicityWang_th0_01,timing_difference_c22_SB_BinaryStats_diff_longstretch0,timing_difference_c22_SB_BinaryStats_mean_longstretch1,timing_difference_c22_SB_MotifThree_quantile_hh,timing_difference_c22_SB_TransitionMatrix_3ac_sumdiagcov,timing_difference_c22_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,timing_difference_c22_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,timing_difference_c22_SP_Summaries_welch_rect_area_5_1,timing_difference_c22_SP_Summaries_welch_rect_centroid
3,3,3;3;3;3,continuous,5,-1,5.0,249.81682289052793,-23875.525218768504,194.93880061444972,-23657.203284565392,28.890245334451947,1.2287775376622325,47.0,0.6184507965362169,20.1758722930574,-0.0005516165015698332,-0.4661328163673839,-0.06182628560267878,0.5034965034965035,-0.6533466533466534,0.22580645161290322,0.2072476042721234,30.0,0.609,77.0,32.0,136.0,1.3226559297291778,0.0029296875,0.375,0.5416666666666666,0.9974657210952387,0.061359231515429685
4,4,4;4;4;4,continuous,-53,-1,-53.0,242.86561781058114,-24223.033140277646,222.63347712270667,-24140.602769558114,41.965918993394524,0.7795499467459192,13.0,0.3522990298130787,8.55689993375548,-0.005227667697665552,0.16017338635528766,0.6377806928273335,0.47452547452547456,-0.24375624375624372,0.23076923076923078,0.32231653045569414,12.0,0.724,18.0,16.0,54.0,1.458630052018844,0.004616805170821791,0.125,0.2916666666666667,0.9987189654315127,0.0981747704246875
12,12,12;12;12;12,continuous,41,-1,41.0,230.61532516277651,-24163.428623581753,217.73694106200912,-23987.734495913784,91.93501756928768,6.696881798109191,162.0,1.0115443974037777,76.85515366774993,-1.628970728470435e-05,-0.15088790362602106,0.043378060266164586,-0.2722277722277722,-0.7702297702297702,0.37606837606837606,0.054062392042949554,40.0,0.095,0.0,58.0,168.0,1.1984726719218997,0.020833333333333336,0.875,0.75,0.9989789429511098,0.012271846303085938
14,14,14;14;14;14,continuous,44,-1,44.0,249.4473628795397,-24833.7731109787,220.83898651201358,-24816.126159939933,146.4614137760165,0.7024207526831667,32.0,0.12944529430381072,10.442688992786373,-0.006224425143106031,-0.362420758877259,0.18377983469128445,0.41058941058941056,0.11938061938061939,0.32,0.26713464343399096,23.0,0.12,230.0,25.0,199.0,1.3892769908191158,0.007499999999999999,0.4583333333333333,0.1875,0.9988869246524846,0.08590292412160157
19,19,19;19;19;19,continuous,-68,-1,-68.0,250.96853164094586,-24845.405834753958,224.86401977583031,-24634.325057539307,19.299626544547976,1.3247724856015344,61.0,0.7310057532491098,20.598188271893157,-0.0009899171123623808,-0.03999612973777911,0.30720391905336175,0.4150849150849151,-0.0699300699300699,0.22857142857142856,0.20412730727097048,34.0,0.609,156.0,25.0,98.0,1.3331430616394446,0.002551020408163265,0.5416666666666666,0.625,0.9977048459131747,0.04908738521234375
23,23,23;23;23;23,continuous,-4,-1,-4.0,236.20465177168035,-23684.910233561583,210.42646065159502,-23462.780024254622,55.02898267839029,0.6641786495962996,32.0,0.48400928535080784,9.569461527538966,-0.008969706491107043,-0.44353933801588674,-1.0151697608499761,0.5404595404595405,-0.1368631368631369,0.30434782608695654,0.2891346757985795,21.0,0.431,73.0,28.0,121.0,1.352317961681298,0.004506940688660538,0.3958333333333333,0.20833333333333334,0.9988883921269339,0.09203884727314453
27,27,27;27;27;27,continuous,-100,-1,-100.0,258.6602900738282,-23670.744864297936,205.67905649793545,-23461.335469953076,-49.81958640652806,0.7189262856848265,32.0,0.20259725710350995,9.896913860127185,0.004915369920753872,0.23233408248692866,-0.2840710378567699,0.1518481518481518,0.5414585414585416,0.36363636363636365,0.2792351388753715,21.0,0.444,68.0,31.0,52.0,1.3772150131490948,0.0009876543209876541,0.4166666666666667,0.4583333333333333,0.9989278325901405,0.09203884727314453
37,37,37;37;37;37,continuous,-63,-1,-63.0,228.67015498314979,-24402.620434968976,225.4754216969422,-24249.09254403697,49.770709244302935,0.6921825751735933,33.0,0.3520127888344484,9.8779795770937,-0.0064061217077190195,0.1002550727028364,0.6377220244161155,0.46553446553446554,-0.03296703296703296,0.28,0.2857766407583096,24.0,0.475,162.0,38.0,135.0,1.355072959525958,0.004999999999999999,0.4375,0.5208333333333334,0.9985518985994721,0.09203884727314453
39,39,39;39;39;39,continuous,111,-1,111.0,234.1238521482886,-23698.699437555097,219.05574528278694,-23688.061182817102,197.42594591732043,0.7232782932925219,33.0,0.13163282423553238,10.660049974169835,-0.006078338305523267,-0.33413807208240165,0.20921329259746102,0.5244755244755244,0.4505494505494506,0.3333333333333333,0.2622011149114589,22.0,0.094,223.0,53.0,199.0,1.3426380968225053,0.02022605591909577,0.375,0.4791666666666667,0.9989766806835697,0.08590292412160157
40,40,40;40;40;40,continuous,1,-1,1.0,232.46510251273165,-24984.100862599375,213.9093799523339,-24681.73943180271,79.7253041904149,0.6196150697540771,31.0,0.4367889406325061,9.191782875603256,-0.009187796164511002,0.47275598511281647,1.0618386130693764,0.4155844155844155,-0.1433566433566434,0.28,0.29581654203057817,23.0,0.276,144.0,29.0,188.0,1.3660460889553458,0.005624999999999999,0.2916666666666667,0.4166666666666667,0.9988498771352351,0.10431069357623048
42,42,42;42;42;42,continuous,28,-1,28.0,234.0047588422982,-23538.986012600333,216.1169815349481,-23455.747918122517,111.0079725715778,0.6784363921551055,32.0,0.16010674073713702,9.68829349863821,-0.007331661819611559,-0.01967970261312324,0.5429604910788246,0.5494505494505495,0.2447552447552448,0.2692307692307692,0.28594045778474575,25.0,0.329,201.0,30.0,132.0,1.3830398154844064,0.012927054478301014,0.25,0.375,0.9989431927627178,0.09203884727314453
46,46,46;46;46;46,continuous,88,-1,88.0,242.92822646231085,-24307.62676387646,223.14451495957786,-24373.558546281256,180.28187834461917,0.7210890960964279,33.0,0.13560420626137312,10.535611087274873,-0.0060766958367859435,-0.37733279555542154,0.1673526303405488,0.46853146853146854,0.09290709290709298,0.3333333333333333,0.2649864950428773,22.0,0.107,220.0,33.0,232.0,1.3560403086660875,0.006543723973825105,0.4166666666666667,0.125,0.9989613337957877,0.09203884727314453
