meta_event_index,meta_event_id,meta_source_file_id,meta_shift_mode,meta_assigned_shift_ps,meta_discrete_group,target_shift_ps,energy_ch1_max_amplitude_mV,energy_ch1_t10_abs_ps,energy_ch2_max_amplitude_mV,energy_ch2_t10_abs_ps,timing_delta_t7_ps,timing_difference_c22_CO_Embed2_Dist_tau_d_expfit_meandiff,timing_difference_c22_CO_FirstMin_ac,timing_difference_c22_CO_HistogramAMI_even_2_5,timing_difference_c22_CO_f1ecac,timing_difference_c22_CO_trev_1_num,timing_difference_c22_DN_HistogramMode_10,timing_difference_c22_DN_HistogramMode_5,timing_difference_c22_DN_OutlierInclude_n_001_mdrmd,timing_difference_c22_DN_OutlierInclude_p_001_mdrmd,timing_difference_c22_FC_LocalSimple_mean1_tauresrat,timing_difference_c22_FC_LocalSimple_mean3_stderr,timing_difference_c22_IN_AutoMutualInfoStats_40_gaussian_fmmi,timing_difference_c22_MD_hrv_classic_pnn40,timing_difference_c22_PD_PeriodicityWang_th0_01,timing_difference_c22_SB_BinaryStats_diff_longstretch0,timing_difference_c22_SB_BinaryStats_mean_longstretch1,timing_difference_c22_SB_MotifThree_quantile_hh,timing_difference_c22_SB_TransitionMatrix_3ac_sumdiagcov,timing_difference_c22_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,timing_difference_c22_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,timing_difference_c22_SP_Summaries_welch_rect_area_5_1,timing_difference_c22_SP_Summaries_welch_rect_centroid
3,3,3;3;3;3,discrete,0,1,0.0,249.97744106372218,-23880.630204523353,194.93880061444972,-23657.203284565392,24.30400864439619,1.522277548964608,47.0,0.6908978040102953,21.063203561774316,-0.00016101508947641134,-0.016550833277579002,0.34550356337961663,0.3526473526473526,-0.6533466533466534,0.21875,0.19575363298450812,31.0,0.618,77.0,33.0,131.0,1.3157533405062962,0.011446409989594172,0.4375,0.5416666666666666,0.9972537023233057,0.061359231515429685
4,4,4;4;4;4,discrete,-80,0,-80.0,242.81669876128194,-24250.082156462515,222.63347712270667,-24140.602769558114,14.944983684348045,1.466263482799825,12.0,0.5882604516655993,7.265240963813068,-0.0006083576088566524,-0.24900971516856063,-0.5367512003841621,0.14385614385614387,-0.25274725274725274,0.23076923076923078,0.3641581274011088,11.0,0.833,19.0,15.0,53.0,1.4672840484785628,0.006001846722068328,0.4375,0.22916666666666666,0.9982966110766296,0.0981747704246875
12,12,12;12;12;12,discrete,0,1,0.0,230.62085845975113,-24204.28490775642,217.73694106200912,-23987.734495913784,50.908589016636085,8.530708746572051,162.0,1.0106585902055407,77.186714598541,-9.128217745061188e-06,-0.14192437201806307,0.0517732062628512,-0.28071928071928076,-0.7742257742257742,0.36752136752136755,0.0489959929127828,40.0,0.091,0.0,60.0,167.0,1.1984726719218997,0.020833333333333336,0.875,0.7291666666666666,0.9989772648063662,0.012271846303085938
14,14,14;14;14;14,discrete,80,2,80.0,249.4628990532141,-24797.89159835457,220.83898651201358,-24816.126159939933,182.5675464498211,0.7478060530579285,33.0,0.12644481993449452,10.949131558709626,-0.005350796522646616,0.5644794901643984,0.03266803120059336,0.4125874125874125,0.12487512487512498,0.3333333333333333,0.2557919785166143,23.0,0.094,229.0,26.0,225.0,1.3786430814581514,0.004759071980963711,0.4166666666666667,0.1875,0.9989035692541783,0.08590292412160157
19,19,19;19;19;19,discrete,0,1,0.0,250.98337966170337,-24777.367605707164,224.86401977583031,-24634.325057539307,87.3025112177288,0.6912622397658401,34.0,0.15465091435565909,10.026760720720258,-0.006694939277522858,-0.035795186338369867,0.5156890622734824,0.42057942057942066,-0.03796203796203801,0.25925925925925924,0.2785615142053008,25.0,0.258,114.0,33.0,107.0,1.3401257733175407,0.005113221329437546,0.3958333333333333,0.4166666666666667,0.9987337836007766,0.08590292412160157
23,23,23;23;23;23,discrete,0,1,0.0,236.21579393873316,-23680.23346719384,210.42646065159502,-23462.780024254622,59.203927889655006,0.651252983589538,32.0,0.5039866286563324,9.519083866899525,-0.009061164386884186,0.6403219425414441,1.2167981954511786,0.5414585414585416,-0.13386613386613389,0.3181818181818182,0.2899226045629706,21.0,0.404,73.0,28.0,121.0,1.3583058755654887,0.011851851851851853,0.3958333333333333,0.20833333333333334,0.9989002652756912,0.09203884727314453
27,27,27;27;27;27,discrete,80,2,80.0,251.10349222458504,-23490.744864297936,205.67905649793545,-23461.335469953076,130.18041359347166,0.6587981108106603,32.0,0.13302631503590248,9.668716448864755,-0.007362392772719081,-0.15489001120949109,0.4128849476826373,0.5514485514485514,-0.025974025974025983,0.28,0.2852184825243933,23.0,0.174,180.0,32.0,126.0,1.3650006576373066,0.003541666666666666,0.25,0.375,0.9989676947477037,0.09203884727314453
37,37,37;37;37;37,discrete,0,1,0.0,228.66330621291115,-24339.981251272264,225.4754216969422,-24249.09254403697,112.76347942002829,0.6660378166692394,32.0,0.13387982519213318,9.770784839193611,-0.007171775489041308,-0.1489791411728243,0.4139530899105557,0.46853146853146854,-0.017982017982017928,0.2916666666666667,0.2830422762222522,23.0,0.17,163.0,44.0,135.0,1.3608117577607963,0.011302795954788817,0.4166666666666667,0.5,0.9988676227402905,0.09203884727314453
39,39,39;39;39;39,discrete,-80,0,-80.0,235.09523763138603,-23890.12343309435,219.05574528278694,-23688.061182817102,6.994530481051697,1.7052976971293685,12.0,0.6957273213172103,24.187231972135876,-6.313469716201288e-05,-0.5509075281534431,0.2572888365946626,-0.0029970029970030065,-0.19780219780219777,0.2,0.2925926160227214,11.0,0.777,19.0,21.0,59.0,1.4660804522819226,0.0036730945821854917,0.7291666666666666,0.16666666666666666,0.9988203072898763,0.04908738521234375
40,40,40;40;40;40,discrete,-80,0,-80.0,232.46964030605733,-25064.969592994956,213.9093799523339,-24681.73943180271,-1.16807763568616,2.5462501693085207,44.0,0.9189311704097969,22.450348750353736,-0.00011628280008990983,-0.5766311206192433,0.15037021832624198,0.08591408591408589,-0.1808191808191808,0.11764705882352941,0.18390233057005065,40.0,0.654,213.0,42.0,131.0,1.329722128425894,0.01020408163265306,0.6458333333333334,0.4583333333333333,0.997511630808417,0.042951462060800784
